age,education,occupation,experience,hours-per-week,salary
36,HS-grad,Graphic Designer,4,45,26066
40,Masters,Project Manager,8,31,43399
51,HS-grad,Graphic Designer,31,67,53463
18,HS-grad,Sales Associate,0,35,25336
46,Masters,Project Manager,22,22,59567
33,Bachelors,Business Analyst,2,56,36651
64,Bachelors,Software Engineer,29,65,66561
29,PhD,Professor,9,45,52196
47,HS-grad,Marketing Manager,4,42,25439
22,Some-college,Priv-house-serv,3,53,22464
21,Masters,Data Scientist,3,43,52789
45,Some-college,Nurse,26,39,43516
50,Bachelors,Software Engineer,11,22,50601
57,HS-grad,Sales Associate,9,62,33202
25,HS-grad,Marketing Manager,4,45,27043
51,Some-college,Priv-house-serv,6,23,19952
53,Assoc,Quality Analyst,24,40,49556
53,Masters,Data Scientist,9,56,60768
65,HS-grad,Graphic Designer,35,37,54025
49,HS-grad,Graphic Designer,23,42,45982
58,HS-grad,Graphic Designer,29,36,46001
37,HS-grad,Marketing Manager,15,44,40004
58,HS-grad,Sales Associate,18,31,35424
45,HS-grad,Graphic Designer,13,50,34942
52,Masters,Data Scientist,11,44,59787
38,Bachelors,Sales Associate,3,42,27243
56,Masters,Project Manager,13,50,53523
52,Some-college,Handlers-cleaners,22,48,37376
27,Bachelors,Software Engineer,9,63,49396
55,HS-grad,Sales Associate,6,65,29316
19,Some-college,Protective-serv,0,48,25209
36,Masters,Project Manager,7,67,51624
48,Masters,Project Manager,18,63,59531
44,PhD,Legal Advisor,9,45,55289
45,Masters,Data Scientist,25,39,65410
58,Bachelors,Software Engineer,38,20,68939
42,HS-grad,Graphic Designer,23,52,46003
23,PhD,Professor,1,63,56814
38,Masters,Project Manager,10,56,52372
36,Bachelors,Sales Associate,17,66,49127
20,HS-grad,Sales Associate,2,30,24198
49,Bachelors,Business Analyst,15,27,43811
45,Masters,Project Manager,3,45,42312
45,Some-college,Armed-Forces,27,56,52994
37,HS-grad,Sales Associate,12,47,36890
63,Masters,Data Scientist,34,25,74899
62,PhD,Research Scientist,4,52,68178
35,PhD,Professor,14,68,72830
44,HS-grad,Marketing Manager,16,32,36705
58,HS-grad,Marketing Manager,34,20,55456
20,Masters,Project Manager,0,42,44378
54,Masters,Data Scientist,9,29,52323
18,HS-grad,Marketing Manager,0,64,27206
18,Masters,Project Manager,0,68,36104
29,Assoc,Nurse,0,63,29241
47,Masters,Project Manager,26,36,64213
56,Some-college,Protective-serv,37,53,62421
51,PhD,Research Scientist,17,49,72528
55,Some-college,Other-service,32,43,48391
59,Bachelors,Business Analyst,16,24,46413
34,HS-grad,Marketing Manager,4,53,33749
19,PhD,Professor,0,62,51051
33,HS-grad,Graphic Designer,14,30,35886
20,PhD,Professor,2,46,51735
36,Some-college,Craft-repair,4,37,24660
39,Bachelors,Business Analyst,20,25,50232
31,Some-college,Tech-support,9,64,32311
43,Assoc,Quality Analyst,24,66,49690
65,PhD,Legal Advisor,16,45,63934
25,Bachelors,Software Engineer,0,54,38973
43,PhD,Research Scientist,22,33,75960
31,Some-college,Priv-house-serv,10,26,28327
62,Assoc,Nurse,17,57,45189
32,Assoc,Nurse,8,56,36361
39,HS-grad,Graphic Designer,11,44,28472
37,HS-grad,Sales Associate,3,29,22680
39,Bachelors,Sales Associate,1,66,34799
59,HS-grad,Graphic Designer,40,56,63689
62,Some-college,Protective-serv,5,56,27525
39,HS-grad,Sales Associate,20,25,37484
47,PhD,Legal Advisor,23,28,63005
48,Assoc,Nurse,7,56,35787
23,Bachelors,Sales Associate,5,68,34887
19,PhD,Research Scientist,0,30,53426
23,Bachelors,Software Engineer,1,23,39758
37,Assoc,Quality Analyst,16,31,39689
28,PhD,Professor,3,32,51639
50,Assoc,Nurse,5,69,40779
19,Some-college,Armed-Forces,0,59,23577
18,Some-college,Other-service,0,56,27874
48,Assoc,Plant Supervisor,16,24,37304
31,PhD,Research Scientist,4,30,61416
25,PhD,Professor,2,60,56610
47,Masters,Project Manager,2,40,39565
21,PhD,Research Scientist,0,64,60698
35,Some-college,Transport-moving,7,27,21664
55,Assoc,Quality Analyst,32,42,51319
34,HS-grad,Sales Associate,0,66,27273
23,Assoc,Nurse,5,22,24284
32,Assoc,Plant Supervisor,14,48,42880
55,Assoc,Quality Analyst,32,56,56559
50,Assoc,Nurse,3,41,28082
55,Some-college,Nurse,12,50,42262
41,Bachelors,Software Engineer,19,34,53489
19,Bachelors,Software Engineer,0,50,40443
53,Assoc,Nurse,35,45,55877
27,Assoc,Plant Supervisor,7,57,31004
64,PhD,Legal Advisor,25,65,77404
42,PhD,Research Scientist,0,66,63331
29,Bachelors,Sales Associate,11,55,36393
46,HS-grad,Marketing Manager,13,59,42754
28,HS-grad,Marketing Manager,6,20,35746
26,Masters,Accountant,4,28,38509
43,Some-college,Other-service,8,54,30830
19,Assoc,Plant Supervisor,0,37,18614
44,Assoc,Plant Supervisor,16,62,44395
41,Bachelors,Business Analyst,0,68,34275
60,Masters,Accountant,21,45,52827
57,Bachelors,Sales Associate,6,20,27633
40,Masters,Project Manager,18,38,54279
46,HS-grad,Sales Associate,15,59,31989
18,Assoc,Plant Supervisor,0,33,25003
47,PhD,Professor,5,23,60245
56,HS-grad,Sales Associate,2,51,25284
50,Some-college,Armed-Forces,22,47,45104
46,Some-college,Adm-clerical,7,20,24243
25,Assoc,Nurse,5,66,35864
50,Masters,Accountant,27,66,65254
60,PhD,Research Scientist,15,23,72658
38,Bachelors,Software Engineer,13,50,49691
50,Some-college,Adm-clerical,22,40,41157
36,Assoc,Quality Analyst,3,48,31250
59,Masters,Accountant,1,22,34037
54,Bachelors,Software Engineer,29,28,59216
39,Bachelors,Business Analyst,11,43,41637
47,HS-grad,Marketing Manager,23,65,46364
34,Some-college,Craft-repair,13,28,31196
56,Some-college,Transport-moving,8,41,24638
23,Masters,Accountant,1,40,34752
58,Some-college,Other-service,37,53,59613
40,Some-college,Armed-Forces,20,61,48633
44,PhD,Professor,24,50,75440
24,Bachelors,Software Engineer,1,64,45656
38,HS-grad,Marketing Manager,13,21,36994
53,Assoc,Quality Analyst,25,48,46925
57,Masters,Accountant,10,55,43160
51,Assoc,Plant Supervisor,23,41,47950
53,Masters,Data Scientist,19,38,63260
62,PhD,Legal Advisor,33,28,78005
26,Some-college,Tech-support,8,59,32912
42,Assoc,Plant Supervisor,6,54,37043
54,Assoc,Plant Supervisor,29,57,49508
34,Bachelors,Sales Associate,9,68,41560
33,Bachelors,Business Analyst,7,38,40841
33,Masters,Project Manager,5,27,45246
42,HS-grad,Marketing Manager,11,34,33191
33,Some-college,Priv-house-serv,6,36,22865
39,Some-college,Handlers-cleaners,6,33,24333
40,Assoc,Plant Supervisor,17,50,40247
52,PhD,Legal Advisor,17,61,70869
51,Assoc,Quality Analyst,2,56,32883
40,Assoc,Plant Supervisor,11,58,38947
42,Masters,Project Manager,12,37,45175
59,HS-grad,Sales Associate,1,54,23905
56,Assoc,Nurse,28,68,58775
61,Masters,Project Manager,15,63,53095
47,Masters,Data Scientist,16,22,57603
47,Masters,Project Manager,17,23,56168
63,HS-grad,Sales Associate,14,28,36634
41,HS-grad,Sales Associate,3,31,24107
30,PhD,Legal Advisor,1,44,45868
25,Bachelors,Sales Associate,3,48,32217
27,Masters,Project Manager,1,45,45152
20,HS-grad,Sales Associate,1,24,24451
41,PhD,Professor,2,51,53773
30,Assoc,Plant Supervisor,7,66,35583
45,Assoc,Nurse,8,22,35326
29,HS-grad,Marketing Manager,9,28,33366
51,Assoc,Nurse,23,34,45510
22,PhD,Legal Advisor,1,37,47605
57,HS-grad,Marketing Manager,31,48,54059
20,Assoc,Plant Supervisor,1,59,25017
33,PhD,Legal Advisor,7,47,56856
65,HS-grad,Graphic Designer,40,32,58256
44,Some-college,Other-service,5,26,25343
62,Masters,Accountant,30,42,61574
19,Some-college,Other-service,1,32,19218
19,Masters,Accountant,1,32,34977
51,HS-grad,Graphic Designer,23,64,46616
36,Assoc,Plant Supervisor,6,29,32781
47,Bachelors,Sales Associate,4,48,29609
21,PhD,Research Scientist,2,36,61279
39,PhD,Professor,17,69,74742
46,PhD,Legal Advisor,11,55,63659
46,Bachelors,Sales Associate,10,52,40713
32,PhD,Legal Advisor,2,30,48412
46,PhD,Research Scientist,3,36,65002
58,Assoc,Quality Analyst,38,34,60461
64,Bachelors,Business Analyst,13,39,46668
44,PhD,Legal Advisor,2,36,50877
37,Masters,Accountant,5,38,38708
20,HS-grad,Sales Associate,2,20,24708
42,Some-college,Craft-repair,23,31,38176
33,Some-college,Armed-Forces,10,27,32592
25,Masters,Data Scientist,6,46,52995
24,PhD,Research Scientist,2,48,61491
42,PhD,Legal Advisor,13,26,61472
61,HS-grad,Marketing Manager,19,55,40383
39,Bachelors,Sales Associate,21,21,44691
34,Assoc,Quality Analyst,7,40,30507
48,PhD,Legal Advisor,5,51,52979
42,Assoc,Quality Analyst,0,57,28684
34,Assoc,Quality Analyst,11,65,40712
45,PhD,Research Scientist,19,52,76547
19,Bachelors,Software Engineer,0,52,39967
47,HS-grad,Sales Associate,0,32,19552
56,Some-college,Machine-op-inspct,25,65,44810
32,Some-college,Tech-support,1,61,30598
23,PhD,Professor,0,58,57111
29,HS-grad,Marketing Manager,7,27,32537
24,PhD,Legal Advisor,2,39,51387
39,Bachelors,Business Analyst,2,60,37745
29,Some-college,Machine-op-inspct,6,31,21503
62,Masters,Data Scientist,18,65,66221
49,Masters,Accountant,18,63,53076
35,Some-college,Machine-op-inspct,4,51,23715
52,Bachelors,Business Analyst,28,34,65435
29,HS-grad,Graphic Designer,0,49,22570
21,Bachelors,Software Engineer,3,63,46056
49,PhD,Research Scientist,8,55,67592
32,Bachelors,Business Analyst,1,55,35467
59,PhD,Legal Advisor,11,22,61591
43,HS-grad,Graphic Designer,7,55,33750
59,PhD,Legal Advisor,13,33,53175
58,PhD,Professor,13,58,67446
56,HS-grad,Marketing Manager,5,36,29435
54,Some-college,Craft-repair,4,20,23182
40,Bachelors,Software Engineer,14,50,52292
47,Some-college,Armed-Forces,8,20,28632
29,Masters,Accountant,0,39,37111
61,Masters,Data Scientist,27,66,73086
37,PhD,Legal Advisor,17,33,63420
46,Bachelors,Business Analyst,0,54,33581
22,PhD,Professor,0,68,61089
41,Bachelors,Software Engineer,10,53,51029
46,HS-grad,Marketing Manager,24,58,51695
61,Some-college,Adm-clerical,37,39,48059
33,PhD,Professor,1,61,54468
25,Masters,Data Scientist,4,51,54663
64,PhD,Professor,21,66,77475
27,Some-college,Protective-serv,1,37,25239
25,HS-grad,Marketing Manager,6,59,32194
21,HS-grad,Marketing Manager,0,20,24697
33,Assoc,Nurse,13,67,40482
23,Bachelors,Business Analyst,0,52,35641
65,HS-grad,Sales Associate,12,28,30145
55,Assoc,Plant Supervisor,3,57,29246
51,Assoc,Plant Supervisor,17,32,38972
41,Assoc,Quality Analyst,21,26,46979
32,HS-grad,Sales Associate,0,31,22928
42,Assoc,Quality Analyst,0,68,35310
61,HS-grad,Graphic Designer,37,45,52328
19,PhD,Research Scientist,1,28,59280
43,Assoc,Quality Analyst,7,67,36564
60,Bachelors,Sales Associate,22,25,41846
61,PhD,Research Scientist,20,42,78291
42,Masters,Accountant,3,30,35900
21,Assoc,Nurse,0,32,23427
63,Masters,Data Scientist,26,48,71898
25,Bachelors,Sales Associate,7,61,39286
21,HS-grad,Sales Associate,1,44,23632
24,PhD,Legal Advisor,6,63,58263
59,HS-grad,Marketing Manager,35,39,52164
24,Bachelors,Business Analyst,5,20,38192
39,Assoc,Quality Analyst,21,40,37847
43,PhD,Professor,8,34,54893
25,Masters,Project Manager,7,35,49873
44,HS-grad,Marketing Manager,4,23,29607
27,Bachelors,Sales Associate,8,37,30798
50,Assoc,Plant Supervisor,4,66,34472
38,HS-grad,Graphic Designer,16,41,34698
52,Masters,Accountant,27,26,54057
42,PhD,Professor,1,54,55569
20,Masters,Project Manager,1,58,46306
55,Bachelors,Business Analyst,31,58,62700
53,Masters,Project Manager,32,55,69545
58,Assoc,Plant Supervisor,38,23,56079
19,Masters,Data Scientist,1,24,48990
20,PhD,Research Scientist,1,63,61595
20,Masters,Project Manager,1,25,39741
52,PhD,Professor,33,42,79978
61,PhD,Research Scientist,35,24,90446
33,HS-grad,Graphic Designer,9,49,28598
33,HS-grad,Graphic Designer,11,36,25061
57,Bachelors,Sales Associate,4,39,27351
47,Bachelors,Software Engineer,20,39,53627
33,HS-grad,Sales Associate,11,57,33863
31,Bachelors,Business Analyst,3,52,35894
19,HS-grad,Sales Associate,0,28,18000
20,HS-grad,Graphic Designer,1,42,23422
59,PhD,Professor,11,66,64973
55,HS-grad,Marketing Manager,17,64,46397
23,PhD,Research Scientist,2,35,58674
26,Bachelors,Business Analyst,4,54,40241
35,Some-college,Other-service,9,44,25353
50,Some-college,Transport-moving,30,33,46169
23,Assoc,Quality Analyst,0,32,26969
25,Masters,Project Manager,4,53,41446
48,Masters,Data Scientist,13,39,59390
23,Some-college,Armed-Forces,4,62,36466
22,Assoc,Nurse,2,53,32758
19,Some-college,Transport-moving,1,30,22974
36,HS-grad,Graphic Designer,8,54,34435
45,Masters,Data Scientist,13,26,58329
57,Bachelors,Sales Associate,16,56,43026
53,Bachelors,Software Engineer,34,26,63240
39,Masters,Data Scientist,4,21,57949
38,PhD,Legal Advisor,5,34,56873
30,Masters,Data Scientist,4,45,54185
35,Some-college,Handlers-cleaners,4,64,26134
38,HS-grad,Graphic Designer,19,45,38012
65,PhD,Research Scientist,17,59,77807
59,Masters,Project Manager,20,61,64414
58,Masters,Data Scientist,16,28,61505
57,Some-college,Priv-house-serv,20,47,35610
51,Assoc,Nurse,7,41,35066
41,Bachelors,Sales Associate,12,38,39703
40,Masters,Data Scientist,4,27,50286
22,Assoc,Quality Analyst,3,40,27801
28,Some-college,Other-service,3,34,18708
49,Masters,Project Manager,7,29,41053
49,PhD,Legal Advisor,15,47,63335
19,HS-grad,Sales Associate,0,69,26414
53,Assoc,Quality Analyst,3,33,29745
53,Some-college,Handlers-cleaners,11,46,29007
30,Some-college,Machine-op-inspct,4,51,26804
28,Bachelors,Business Analyst,9,34,42083
26,HS-grad,Marketing Manager,8,59,30655
39,HS-grad,Marketing Manager,19,49,38030
61,Bachelors,Software Engineer,31,65,67368
64,HS-grad,Sales Associate,17,40,38138
38,Masters,Project Manager,7,65,52721
39,Bachelors,Sales Associate,21,62,50136
45,HS-grad,Marketing Manager,12,37,35606
48,Bachelors,Sales Associate,14,42,36294
39,Bachelors,Software Engineer,10,56,50301
40,PhD,Legal Advisor,6,63,64504
64,HS-grad,Sales Associate,7,61,33817
20,Bachelors,Software Engineer,0,23,38117
51,Assoc,Plant Supervisor,24,29,47914
19,Assoc,Nurse,0,67,32171
53,Masters,Data Scientist,21,61,68737
37,Some-college,Handlers-cleaners,10,35,28660
23,Assoc,Nurse,2,56,29593
41,Bachelors,Business Analyst,21,54,51846
55,Some-college,Handlers-cleaners,20,59,38855
24,Masters,Data Scientist,3,48,50870
41,PhD,Legal Advisor,4,35,53435
47,PhD,Research Scientist,17,38,70416
63,Bachelors,Sales Associate,18,41,44068
48,Some-college,Machine-op-inspct,3,38,23960
50,Masters,Project Manager,17,68,63883
62,Assoc,Quality Analyst,32,36,55017
44,PhD,Legal Advisor,14,25,61359
20,Some-college,Tech-support,0,62,22958
62,HS-grad,Marketing Manager,5,36,27041
38,Masters,Data Scientist,9,24,52447
43,Bachelors,Business Analyst,3,58,38114
53,Bachelors,Software Engineer,20,49,54801
47,Bachelors,Business Analyst,21,47,50414
33,PhD,Research Scientist,15,50,70715
30,Some-college,Transport-moving,5,63,29994
60,Assoc,Plant Supervisor,20,23,41992
44,Some-college,Nurse,6,25,30877
43,Masters,Project Manager,11,33,49318
38,HS-grad,Sales Associate,17,24,32524
42,HS-grad,Graphic Designer,20,31,40417
58,HS-grad,Sales Associate,32,69,53081
39,HS-grad,Graphic Designer,0,36,25073
51,Masters,Data Scientist,27,62,76741
23,HS-grad,Marketing Manager,5,25,27582
27,Some-college,Nurse,4,24,27339
56,Assoc,Quality Analyst,21,31,48565
27,PhD,Legal Advisor,2,68,53785
21,Bachelors,Business Analyst,1,41,31602
39,Masters,Accountant,19,47,56056
19,HS-grad,Graphic Designer,0,22,21949
59,Bachelors,Software Engineer,34,25,66091
60,Assoc,Plant Supervisor,18,24,35291
29,Assoc,Nurse,9,27,35710
38,Bachelors,Software Engineer,7,28,42129
59,PhD,Research Scientist,19,25,73091
20,Assoc,Quality Analyst,2,69,34814
50,Assoc,Plant Supervisor,27,20,48480
54,Bachelors,Sales Associate,3,49,28694
36,PhD,Research Scientist,8,31,62651
62,HS-grad,Graphic Designer,20,49,43655
21,Masters,Project Manager,3,57,46274
21,Assoc,Quality Analyst,0,39,22709
22,Some-college,Priv-house-serv,2,47,21037
36,Some-college,Machine-op-inspct,11,30,29800
61,Some-college,Armed-Forces,8,40,33681
43,Bachelors,Business Analyst,15,40,44582
50,Bachelors,Business Analyst,20,54,52320
28,Some-college,Priv-house-serv,8,42,22453
22,PhD,Professor,3,30,52707
33,HS-grad,Sales Associate,1,21,22566
56,Assoc,Nurse,5,28,31981
38,PhD,Legal Advisor,2,65,53854
53,Bachelors,Business Analyst,11,36,44209
35,Masters,Accountant,0,25,35268
40,Assoc,Nurse,1,65,33979
36,PhD,Legal Advisor,13,39,59399
57,HS-grad,Sales Associate,23,33,40145
63,HS-grad,Graphic Designer,2,61,28054
45,Assoc,Quality Analyst,19,64,48761
64,Bachelors,Sales Associate,13,57,38783
53,Masters,Data Scientist,16,49,64014
31,Bachelors,Software Engineer,10,54,47849
31,HS-grad,Graphic Designer,13,60,37770
58,PhD,Research Scientist,15,48,74947
65,PhD,Professor,29,31,77475
20,Masters,Data Scientist,0,28,50504
21,Masters,Data Scientist,2,36,46598
46,Assoc,Plant Supervisor,21,59,46841
55,Masters,Accountant,19,48,55803
29,Bachelors,Business Analyst,2,41,37272
41,Bachelors,Business Analyst,1,46,34709
39,PhD,Research Scientist,17,36,77137
43,Masters,Project Manager,7,38,44949
65,PhD,Legal Advisor,19,68,65530
55,Masters,Data Scientist,7,62,57087
59,Masters,Data Scientist,40,28,85538
58,Masters,Data Scientist,16,43,65195
30,HS-grad,Graphic Designer,10,65,35215
30,Assoc,Nurse,12,20,39813
62,Masters,Data Scientist,11,67,61126
43,HS-grad,Sales Associate,6,47,25592
40,Masters,Accountant,16,66,53566
35,Bachelors,Business Analyst,1,23,31319
36,Some-college,Handlers-cleaners,14,47,26517
50,Bachelors,Software Engineer,11,34,46084
27,Masters,Data Scientist,1,30,52264
31,Masters,Project Manager,1,28,42482
44,Bachelors,Business Analyst,20,21,51217
20,Masters,Project Manager,1,59,45296
60,Bachelors,Sales Associate,0,64,32093
38,Some-college,Handlers-cleaners,16,50,37779
60,PhD,Professor,17,55,69147
26,Assoc,Quality Analyst,4,57,30975
20,Some-college,Craft-repair,2,60,29183
53,Assoc,Plant Supervisor,32,43,51088
21,Masters,Accountant,0,20,32572
37,HS-grad,Graphic Designer,18,48,32926
64,Assoc,Nurse,30,46,54348
55,PhD,Legal Advisor,4,27,48514
18,Bachelors,Business Analyst,0,50,33018
62,Bachelors,Software Engineer,4,49,42913
21,Assoc,Quality Analyst,1,46,25550
60,PhD,Research Scientist,26,61,81181
47,Masters,Accountant,9,56,42650
59,Some-college,Handlers-cleaners,36,54,53838
46,Bachelors,Software Engineer,12,66,55759
62,PhD,Professor,31,67,91082
40,Masters,Project Manager,18,22,50885
49,Some-college,Tech-support,12,68,43483
56,Masters,Accountant,3,20,36513
41,Bachelors,Sales Associate,2,32,26286
34,Assoc,Quality Analyst,2,37,32275
41,PhD,Professor,18,56,68865
54,Masters,Data Scientist,35,38,80237
51,Assoc,Quality Analyst,10,64,37076
56,PhD,Legal Advisor,27,24,72177
63,HS-grad,Sales Associate,11,25,29588
53,Bachelors,Business Analyst,10,52,40968
32,PhD,Legal Advisor,10,30,56445
31,HS-grad,Graphic Designer,10,37,31686
64,Bachelors,Sales Associate,3,26,30614
55,Assoc,Nurse,2,24,26600
63,Masters,Accountant,30,35,66199
58,Masters,Project Manager,23,54,63850
47,PhD,Professor,14,54,65260
53,Assoc,Quality Analyst,24,56,51581
54,HS-grad,Graphic Designer,12,59,36051
57,Assoc,Plant Supervisor,22,28,44579
47,Some-college,Other-service,5,30,21218
62,Bachelors,Software Engineer,31,53,67230
36,Masters,Data Scientist,5,35,50310
33,Some-college,Priv-house-serv,5,21,22500
30,Some-college,Priv-house-serv,7,66,29726
31,Assoc,Nurse,7,46,31964
56,PhD,Professor,38,20,81706
36,Masters,Data Scientist,18,44,65244
34,PhD,Legal Advisor,9,29,56648
31,Bachelors,Business Analyst,1,47,38023
41,PhD,Professor,14,41,61482
25,Assoc,Nurse,1,31,26631
35,PhD,Research Scientist,1,30,56857
46,HS-grad,Graphic Designer,25,37,39654
34,PhD,Research Scientist,7,60,69099
18,Masters,Accountant,0,62,37565
44,Assoc,Quality Analyst,1,63,32286
36,Assoc,Quality Analyst,16,25,39418
54,Bachelors,Sales Associate,16,42,33702
27,Assoc,Quality Analyst,6,40,29704
30,Masters,Accountant,4,52,37954
42,Bachelors,Sales Associate,8,40,31215
36,Bachelors,Sales Associate,11,56,37751
52,Bachelors,Software Engineer,17,33,51674
24,Assoc,Quality Analyst,0,32,27727
26,Some-college,Transport-moving,5,30,24159
50,PhD,Research Scientist,22,64,81953
20,Bachelors,Business Analyst,1,63,36915
45,Bachelors,Software Engineer,7,20,42978
27,Assoc,Quality Analyst,4,63,34347
63,Masters,Project Manager,12,56,53641
20,Assoc,Quality Analyst,2,57,30045
41,HS-grad,Marketing Manager,10,44,33856
37,PhD,Professor,15,66,71267
29,HS-grad,Marketing Manager,10,61,38882
23,Some-college,Handlers-cleaners,4,44,23919
24,HS-grad,Graphic Designer,3,31,24111
49,Assoc,Quality Analyst,10,27,33767
42,HS-grad,Graphic Designer,23,27,40520
58,Assoc,Quality Analyst,28,53,51446
30,Some-college,Armed-Forces,11,42,37062
22,HS-grad,Graphic Designer,3,69,33931
49,Assoc,Nurse,27,41,46661
59,Bachelors,Sales Associate,25,44,46759
62,Some-college,Protective-serv,18,30,39353
48,Bachelors,Sales Associate,27,30,50244
64,Assoc,Quality Analyst,37,43,59292
43,HS-grad,Marketing Manager,16,69,48562
28,Masters,Data Scientist,7,52,56394
38,Masters,Project Manager,13,24,52361
39,PhD,Research Scientist,17,33,67370
47,PhD,Legal Advisor,5,48,57933
60,Bachelors,Software Engineer,32,36,65226
33,PhD,Professor,3,54,58171
43,Bachelors,Sales Associate,24,31,45540
55,Assoc,Nurse,17,45,37568
46,PhD,Legal Advisor,26,53,71908
25,Some-college,Tech-support,4,61,33758
47,PhD,Legal Advisor,0,62,50008
46,Some-college,Machine-op-inspct,21,63,43821
27,HS-grad,Sales Associate,3,56,28136
41,Assoc,Quality Analyst,9,59,31248
25,Some-college,Adm-clerical,7,46,27388
61,Masters,Accountant,12,64,47154
26,Some-college,Other-service,5,46,24381
24,HS-grad,Sales Associate,0,22,21537
47,Bachelors,Software Engineer,2,54,42351
35,PhD,Professor,12,48,65069
44,Bachelors,Software Engineer,17,23,50790
39,HS-grad,Sales Associate,1,64,27565
21,HS-grad,Sales Associate,0,30,18000
36,Bachelors,Business Analyst,12,26,47521
22,Some-college,Farming-fishing,4,33,20881
62,Some-college,Other-service,28,27,47677
65,HS-grad,Graphic Designer,38,65,53689
53,Assoc,Nurse,33,48,57109
20,Some-college,Other-service,1,68,20753
48,Masters,Data Scientist,29,60,78499
23,HS-grad,Sales Associate,4,29,22144
37,Masters,Data Scientist,2,41,48129
53,Bachelors,Business Analyst,4,32,31785
42,PhD,Professor,15,46,64206
65,Assoc,Plant Supervisor,35,58,61279
25,PhD,Professor,0,35,49322
48,Assoc,Nurse,9,29,29041
34,Some-college,Machine-op-inspct,3,67,27572
42,Bachelors,Sales Associate,20,56,46283
53,HS-grad,Graphic Designer,16,60,37009
32,Some-college,Farming-fishing,6,25,23575
34,Masters,Project Manager,1,60,45344
30,Masters,Data Scientist,5,25,49744
29,HS-grad,Graphic Designer,6,20,27535
43,HS-grad,Graphic Designer,14,55,38338
36,Some-college,Nurse,10,54,38782
50,PhD,Research Scientist,13,53,68105
36,Assoc,Quality Analyst,5,52,30647
18,HS-grad,Graphic Designer,0,24,22747
52,Masters,Project Manager,18,31,56452
27,Assoc,Nurse,8,39,35147
39,Some-college,Farming-fishing,18,56,40733
20,PhD,Legal Advisor,1,35,48967
29,Bachelors,Software Engineer,4,30,41354
29,Masters,Accountant,0,25,36644
50,PhD,Professor,18,41,65428
19,Masters,Accountant,1,66,40111
24,Bachelors,Business Analyst,6,42,38198
36,PhD,Legal Advisor,17,29,64312
22,Some-college,Machine-op-inspct,3,60,25734
43,Masters,Project Manager,19,60,60540
27,Assoc,Nurse,1,44,23402
41,Assoc,Plant Supervisor,9,57,36134
64,Assoc,Quality Analyst,37,39,58929
37,Assoc,Quality Analyst,11,38,38286
51,PhD,Professor,21,22,73219
